dataset_name,source_title,source_id,source_rows_updated_at,source_view_last_modified,raw_data_path,source_metadata_path,metadata_wrapped_path,geo_results_wrapped_path,row_count,column_count,wrapper_changed_count,wrapped_geo_column_count,has_temporal_data,temporal_columns,temporal_start,temporal_end,temporal_month_coverage
bike_routes,New York City Bike Routes,mzxg-pwib,1755531962,1755531980,data/bike_routes.csv,source_metadata/nyc_open_data/bike_routes.json,output/metadata_bike_routes_wrapped.json,output/geo_classifier_results_bike_routes_wrapped.csv,5000,25,2,3,True,"instdate, ret_date",1900-01-01T00:00:00,2024-12-12T00:00:00,"{""1900"": [1], ""1923"": [5], ""1932"": [1], ""1936"": [7], ""1940"": [1], ""1941"": [1], ""1954"": [1], ""1955"": [7], ""1970"": [1], ""1978"": [7], ""1979"": [5, 7], ""1980"": [7], ""1981"": [1], ""1983"": [1, 3], ""1986"": [1], ""1987"": [1], ""1992"": [1], ""1994"": [5], ""1996"": [1, 4], ""1997"": [4, 5, 8, 10, 11], ""1998"": [1, 7], ""1999"": [7], ""2000"": [6, 8], ""2001"": [1, 5, 11], ""2002"": [6, 7, 9], ""2003"": [1, 4, 5, 6, 8, 11], ""2004"": [1, 5, 6, 7, 11], ""2005"": [6, 8, 11, 12], ""2006"": [1, 4, 6, 9, 10, 11], ""2007"": [4, 5, 6, 7, 8, 9, 10, 11, 12], ""2008"": [4, 5, 6, 7, 8, 9, 10, 11, 12], ""2009"": [4, 5, 6, 7, 8, 9, 10, 11, 12], ""2010"": [3, 5, 6, 7, 8, 9, 10, 11], ""2011"": [6, 7, 9, 10, 11, 12], ""2012"": [4, 6, 7, 8, 9, 10, 11, 12], ""2013"": [4, 5, 6, 7, 9, 10, 11], ""2014"": [1, 4, 5, 6, 7, 8, 9, 10, 11, 12], ""2015"": [5, 6, 7, 8, 9, 10, 11, 12], ""2016"": [4, 5, 6, 7, 8, 9, 10, 11, 12], ""2017"": [1, 6, 7, 8, 9, 10, 11, 12], ""2018"": [1, 5, 6, 7, 8, 9, 10, 11, 12], ""2019"": [4, 6, 7, 8, 9, 10, 11, 12], ""2020"": [1, 3, 6, 8, 9, 10, 11, 12], ""2021"": [2, 5, 6, 7, 8, 9, 10, 11, 12], ""2022"": [1, 2, 4, 6, 7, 8, 9, 10, 11, 12], ""2023"": [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], ""2024"": [5, 9, 10, 11, 12]}"
child_care,Active NYC Health Code Regulated Child Care Programs,gy3q-4tzp,1776812410,1776812403,data/child_care.csv,source_metadata/nyc_open_data/child_care.json,output/metadata_child_care_wrapped.json,output/geo_classifier_results_child_care_wrapped.csv,2734,20,6,9,False,,,,{}
commonplace,CommonPlace,t95h-5fsr,1775909624,1747151565,data/commonplace.csv,source_metadata/nyc_open_data/commonplace.json,output/metadata_commonplace_wrapped.json,output/geo_classifier_results_commonplace_wrapped.csv,5000,21,4,3,True,"created_date, modified_date",2008-03-15T00:00:00+00:00,2025-05-02T16:13:42+00:00,"{""2008"": [3, 6, 9, 12], ""2009"": [5], ""2010"": [8, 9, 10, 11, 12], ""2011"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], ""2012"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], ""2013"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], ""2014"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], ""2015"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], ""2016"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], ""2017"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], ""2018"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], ""2019"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], ""2020"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], ""2021"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], ""2022"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], ""2023"": [1, 2, 4, 5, 6, 7, 8, 9, 10, 11], ""2024"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], ""2025"": [1, 2, 3, 4, 5]}"
farmers_markets,NYC Farmers Markets,8vwk-6iz2,1772134228,1772134244,data/farmers_markets.csv,source_metadata/nyc_open_data/farmers_markets.json,output/metadata_farmers_markets_wrapped.json,output/geo_classifier_results_farmers_markets_wrapped.csv,2115,13,1,5,True,season_begin,2020-07-01T00:00:00,2022-06-17T00:00:00,"{""2020"": [7], ""2022"": [6]}"
hydrants,Hydrants,5bgh-vtsn,1766071828,1766071809,data/hydrants.csv,source_metadata/nyc_open_data/hydrants.json,output/metadata_hydrants_wrapped.json,output/geo_classifier_results_hydrants_wrapped.csv,5000,8,1,4,False,,,,{}
libraries,LIBRARY,feuq-due4,1466610774,1706899543,data/libraries.csv,source_metadata/nyc_open_data/libraries.json,output/metadata_libraries_wrapped.json,output/geo_classifier_results_libraries_wrapped.csv,216,13,6,11,False,,,,{}
nyc311,311 Service Requests from 2010 to 2019,76ig-c548,1766600348,1766778501,data/nyc311.csv,source_metadata/nyc_open_data/nyc311.json,output/metadata_nyc311_wrapped.json,output/geo_classifier_results_nyc311_wrapped.csv,1000,44,8,21,True,"created_date, closed_date, due_date, resolution_action_updated_date",2019-12-31T18:52:55,2024-06-04T04:55:51,"{""2019"": [12], ""2020"": [1, 2, 3, 4, 5, 12], ""2021"": [6, 8], ""2022"": [2, 5, 6], ""2023"": [6], ""2024"": [6]}"
ped_counts,Bi-Annual Pedestrian Counts,cqsj-cfgu,1776780687,1776780710,data/ped_counts.csv,source_metadata/nyc_open_data/ped_counts.json,output/metadata_ped_counts_wrapped.json,output/geo_classifier_results_ped_counts_wrapped.csv,114,116,0,5,False,,,,{}
play_areas,Schoolyard to Playgrounds,bbtf-6p3c,1776520805,1776520804,data/play_areas.csv,source_metadata/nyc_open_data/play_areas.json,output/metadata_play_areas_wrapped.json,output/geo_classifier_results_play_areas_wrapped.csv,300,14,4,7,False,,,,{}
street_trees,2015 Street Tree Census - Tree Data,uvpi-gqnh,1507124486,1731421699,data/street_trees.csv,source_metadata/nyc_open_data/street_trees.json,output/metadata_street_trees_wrapped.json,output/geo_classifier_results_street_trees_wrapped.csv,5000,45,11,14,True,created_at,2015-05-19T00:00:00,2015-09-17T00:00:00,"{""2015"": [5, 6, 7, 8, 9]}"
wifi_hotspots,NYC Wi-Fi Hotspot Locations,yjub-udmw,1569515080,1663960987,data/wifi_hotspots.csv,source_metadata/nyc_open_data/wifi_hotspots.json,output/metadata_wifi_hotspots_wrapped.json,output/geo_classifier_results_wifi_hotspots_wrapped.csv,3319,29,9,14,True,activated,2016-01-19T00:00:00,9999-09-09T00:00:00,"{""2016"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], ""2017"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], ""2018"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], ""2019"": [1, 2, 3], ""9999"": [9]}"
