dcid,permit_number,program_name,facility_type,program_type,address,borough,zipcode,phone,age_range,capacity,administer_medication,bin,bbl,community_board,council_district,census_tract,nta_code,latitude,longitude
DC1000,2165,BILLY MARTIN CHILD DEVELOPMENT CENTER,GCC,PRESCHOOL,333 CLASSON AVENUE,BROOKLYN,11205,(718) 857-5630,2 YEARS - 5 YEARS,70,No,3321871,3019380001,303,36,023300,BK75,40.689761024835,-73.960169193605
DC1021,4135,NUESTROS NINOS DAY CAR 1,GCC,PRESCHOOL,384 SOUTH 4 STREET,BROOKLYN,11211,(718) 963-1555,2 YEARS - 5 YEARS,142,No,3063507,3024510008,301,34,052700,BK73,40.708076719582,-73.952515190258
DC10244,6700,BIRCH FAMILY SERVICES,GCC,PRESCHOOL,10-24 49 AVENUE,QUEENS,11101,(718) 786-1104,2 YEARS - 5 YEARS,114,Yes,4436607,4000420011,402,26,000700,QN31,40.743273146468,-73.953204552663
DC1030,6767,"PHIPPS NEIGHBORHOODS, INC.",GCC,PRESCHOOL,921 EAST 180 STREET,BRONX,10460,(917) 243-7145,2 YEARS - 5 YEARS,54,No,2114117,2031280001,206,15,036300,BX17,40.844491832205,-73.881471864462
DC10454,3050,THE CHILD DEVELOPMENT CENTER OF KINGSBOROUGH COMMUNITY COLLEGE,GCC,PRESCHOOL,1915 ORIENTAL BOULEVARD,BROOKLYN,11235,(718) 368-5439,2 YEARS - 5 YEARS,38,No,3326936,3087600060,315,48,061600,BK17,40.578489925307,-73.935321084959
DC10455,7290,STEPPING STONES,GCC,PRESCHOOL,245 86 STREET,BROOKLYN,11209,(718) 630-1000,2 YEARS - 5 YEARS,45,No,3153095,3060330065,310,47,006200,BK31,40.623803550206,-74.032492980481
DC10457,7346,CHABAD LUBAVITCH OF WEST BRIGHTON-MANHATTAN BEACH CORP.,GCC,PRESCHOOL,2997 OCEAN PARKWAY,BROOKLYN,11235,(718) 946-9833,2 YEARS - 5 YEARS,22,No,3244597,3086690088,313,48,036200,BK19,40.577405887117,-73.968267640275
DC10465,7501,ANGEL STAR DAY CARE CENTER,GCC,PRESCHOOL,6803 20 AVENUE,BROOKLYN,11204,(718) 331-7282,2 YEARS - 5 YEARS,19,No,3135073,3055790009,311,43,025800,BK28,40.614697563586,-73.987739361729
DC10478,7359,QSAC,GCC,PRESCHOOL,245-37 60 AVENUE,QUEENS,11362,(718) 728-8476,2 YEARS - 5 YEARS,154,No,4171740,4082760559,411,23,152901,QN45,40.75715248756,-73.73224202544
DC10479,4506,JACK & JILL,GCC,PRESCHOOL,43-23 COLDEN STREET,QUEENS,11355,(718) 762-1218,2 YEARS - 5 YEARS,132,No,4115898,4051370005,407,20,079701,QN22,40.752528063432,-73.824980649035
