acres,address,borough,communityboard,councildistrict,dsfbldgcode,gispropnum,jurisdiction,location,nys_assembly,nys_senate,us_congress,zipcode,multipolygon
0.29665657,2781 Pitkin Ave.,B,305,42,K159,BS116,DOE,Hemlock St. bet. Gelnmore Ave. and Pitkin Ave.,54,19,7,11208,"MULTIPOLYGON (((-73.87008742266957 40.67613119607209, -73.87007432121518 40.676078189527786, -73.86934430300663 40.676183396774704, -73.8694076372941 40.67643813903446, -73.86982764364568 40.676376956676066, -73.86977522382294 40.67617915400547, -73.87008742266957 40.67613119607209)))"
1.08704398,45-10 94 STREET,Q,404,25,Q744,QS085,DOE,94 St. bet. 46 Ave. and Alstyne Ave.,39,13,6,11373,"MULTIPOLYGON (((-73.87052757641499 40.74282358006543, -73.87063018224065 40.743294365599404, -73.87079965142733 40.74325752965445, -73.87085437719355 40.74323760516228, -73.87086357063417 40.74325787149346, -73.87108286415213 40.74319346520755, -73.87112118859744 40.74317325207644, -73.87113429860827 40.743203377025694, -73.87142425607612 40.74311408705682, -73.87143254651927 40.743130554893185, -73.87159465601194 40.743083469888205, -73.87163046268853 40.74316116959752, -73.87211026812409 40.74302587348524, -73.87207732159274 40.74296043661461, -73.87203762980313 40.742962907640084, -73.87204110209466 40.74287738846775, -73.87052757641499 40.74282358006543)))"
0.18425263,1654 BENSON AVENUE,B,311,47,K163,BS111,DOE,17 Ave. bet. Benson Ave. and Rutherford Pl.,10,3,4,11214,"MULTIPOLYGON (((-74.00745001682682 40.60680094265964, -74.00757241009426 40.60669388424657, -74.00722538893282 40.606490014967996, -74.00706095144639 40.60664786052479, -74.00722298835178 40.606755337623916, -74.00726537529157 40.60671821724995, -74.00738565665392 40.6067979967044, -74.00740996617195 40.606776707707965, -74.00745001682682 40.60680094265964)))"
1.89666706,48-10 31 AVENUE,Q,401,26,Q445,QS084,DOE,"Broadway, Newtown Rd. bet. 48 St. and 49 St.",34,12,7,11103,"MULTIPOLYGON (((-73.91109861856829 40.756636692109936, -73.91098927929856 40.75677133411436, -73.91160023502975 40.75705821845921, -73.91160497614686 40.75705238141865, -73.91210502607458 40.756436599427154, -73.91226313548773 40.75624189557169, -73.91206216390542 40.75583867870825, -73.91183370959595 40.75573147628258, -73.91109861856829 40.756636692109936)))"
0.28203609,610 EAST 12 STREET,M,103,2,M061,MS023,DOE,E. 12 St. bet. Ave. B and Ave. C,74,27,10,10009,"MULTIPOLYGON (((-73.97763035957115 40.727438796678825, -73.97800291051152 40.727595906386995, -73.97818444532368 40.72734533651867, -73.97781164769816 40.7271890224941, -73.97763035957115 40.727438796678825)))"
0.46995628,525 EAST HOUSTON STREET,M,103,2,M092,MS027,DOE,E. Houston St. bet. Baruch Pl. and Mangin St.,74,27,10,10002,"MULTIPOLYGON (((-73.97578695189935 40.71849100028038, -73.97562323051146 40.718809241957054, -73.97633795404663 40.718953388903444, -73.97643721155062 40.71875925302435, -73.97609423314417 40.71864995947163, -73.97612387088614 40.71859234829562, -73.97578695189935 40.71849100028038)))"
0.48497169,730 EAST 12 STREET,M,103,2,M034,MS026,DOE,Ave D between E 12 St. and E. 10 St.,74,27,10,10009,"MULTIPOLYGON (((-73.9748227125527 40.72556967890546, -73.97466179114882 40.72579116253218, -73.97502750655117 40.72594555546123, -73.97496353134156 40.7260332628542, -73.97521909724671 40.726141153194504, -73.97544447506056 40.725832164791754, -73.9748227125527 40.72556967890546)))"
0.71903318,370 W. 120 St.,M,110,9,M180,MS013,DOE,"Manhattan Ave., Morningside Ave., W. 119 St., and W. 120 St.",70,30,13,10026,"MULTIPOLYGON (((-73.95512300121526 40.80758532098713, -73.95544626766164 40.80772184933349, -73.95581488673827 40.80722317913276, -73.95548837952943 40.80708478742633, -73.95512300121526 40.80758532098713)), ((-73.95613162357283 40.807766714736736, -73.95637597099825 40.80786748405059, -73.95660148912019 40.80755657492058, -73.95636483366465 40.807456271847116, -73.95613162357283 40.807766714736736)))"
0.15264453,5105 Fort Hamilton Parkway,B,312,44,K160,BS117,DOE,51 St. bet. Ft. Hamilton Parkway and 11 Ave.,48,22,10,11219,"MULTIPOLYGON (((-73.99848141206897 40.63694814860354, -73.99869976796461 40.63708056176622, -73.99881537352488 40.6369691922509, -73.99876782411387 40.63694054804839, -73.99886557227269 40.63684638089951, -73.99869420805268 40.636743149904795, -73.99848141206897 40.63694814860354)))"
1.12380846,616 Quincy Street,B,303,36,K308,BS119,DOE,Quincy St. bet. Lewis Ave. and Stuyvesant Ave.,56,25,8,11221,"MULTIPOLYGON (((-73.93396916395689 40.68878850007447, -73.93482519116226 40.688691693880294, -73.93471033738062 40.688128109841614, -73.93388096575215 40.688226041736506, -73.93393436487968 40.68849896046517, -73.93391300662782 40.68850148314739, -73.93396916395689 40.68878850007447)))"
